thickness_cm,energy_mev,w_H,density_g_cm3,transmitted_dose_mgy
4.75,179.72,0.0236,0.863,18.1967
12.41,333.09,0.144,0.9292,26.813
9.25,221.31,0.064,0.8852,15.868
7.69,396.57,0.1063,0.9085,45.3644
13.02,342.4,0.1395,0.9267,27.403
1.67,340.4,0.064,0.8852,48.1166
10.27,92.83,0.054,0.8797,0.0
4.92,91.56,0.1249,0.9187,4.3969
8.46,233.15,0.1163,0.914,19.3168
15.91,414.12,0.1094,0.9102,32.228
18.48,373.73,0.0457,0.8751,21.42
13.01,131.03,0.0939,0.9016,0.0
1.83,85.07,0.1119,0.9115,9.1632
15.98,360.16,0.0945,0.902,23.8005
5.75,220.73,0.0997,0.9048,22.0584
8.2,53.56,0.0811,0.8946,0.087
6.96,39.78,0.0953,0.9024,0.3335
8.43,230.26,0.0927,0.901,18.9477
9.69,418.54,0.1294,0.9212,44.4984
3.14,286.06,0.1289,0.9209,37.1429
13.14,357.21,0.1167,0.9142,28.7311
7.22,214.21,0.0777,0.8927,18.6265
8.26,349.95,0.1469,0.9308,36.8781
7.69,336.59,0.0679,0.8873,36.079
9.2,208.76,0.0895,0.8992,14.0094
19.1,11.53,0.0397,0.8718,0.249
13.36,354.61,0.1068,0.9087,27.8223
10.74,47.1,0.0305,0.8668,0.0
5.04,344.9,0.1442,0.9293,42.2899
16.53,289.18,0.0597,0.8828,12.273
10.67,435.77,0.0337,0.8685,45.29
7.48,242.77,0.0395,0.8717,22.8649
13.83,35.33,0.0614,0.8838,0.0
18.97,67.48,0.1296,0.9213,0.0
17.81,29.83,0.0281,0.8655,0.08
11.55,54.49,0.0361,0.8699,0.3155
10.68,163.53,0.0704,0.8887,4.4229
9.15,440.54,0.071,0.8891,49.0292
5.06,194.49,0.1032,0.9068,19.5982
4.11,179.27,0.0863,0.8975,19.0394
4.29,280.35,0.0795,0.8937,33.8848
13.11,382.83,0.0281,0.8655,32.7484
4.48,351.36,0.1261,0.9194,44.2598
11.29,84.98,0.1247,0.9186,0.0
1.75,414.58,0.033,0.8681,58.9211
16.23,210.09,0.0335,0.8684,1.3775
10.36,361.57,0.0477,0.8762,34.7841
10.17,12.91,0.0359,0.8697,0.0
11.57,269.64,0.1314,0.9223,18.8147
14.64,97.17,0.1,0.905,0.0
15.1,455.37,0.0203,0.8612,40.0261
0.74,393.98,0.0948,0.9021,57.7349
12.87,96.77,0.0591,0.8825,0.0
14.45,90.61,0.1097,0.9103,0.0
14.87,96.45,0.0511,0.8781,0.0299
3.92,245.52,0.1111,0.9111,29.0694
15.96,159.39,0.0574,0.8816,0.0
2.67,97.79,0.0956,0.9026,9.4513
6.36,435.01,0.0637,0.885,53.4288
4.11,135.2,0.1214,0.9168,12.4881
17.46,29.58,0.0232,0.8628,0.0
2.8,249.59,0.0571,0.8814,32.1462
0.55,18.23,0.0655,0.886,1.3718
17.11,184.5,0.1029,0.9066,0.2225
8.38,105.41,0.1155,0.9135,0.2127
9.21,205.11,0.087,0.8979,13.5596
2.47,483.65,0.1493,0.9321,67.8658
1.28,254.39,0.098,0.9039,35.7908
16.97,268.63,0.0816,0.8949,8.7433
10.76,227.71,0.138,0.9259,13.9219
17.22,300.66,0.0394,0.8717,12.9682
15.7,400.18,0.0346,0.869,30.9645
9.62,367.7,0.1179,0.9148,37.2977
2.36,244.0,0.0978,0.9038,32.1156
13.64,272.49,0.0646,0.8855,15.14
7.75,415.04,0.0239,0.8631,47.7849
8.61,178.72,0.1087,0.9098,10.5919
17.25,348.3,0.1191,0.9155,20.1183
14.66,149.32,0.1005,0.9053,0.0732
16.31,396.63,0.1232,0.9178,29.1337
12.61,129.35,0.125,0.9187,0.1666
10.51,86.84,0.0523,0.8788,0.4223
13.79,243.51,0.0976,0.9037,10.7169
1.82,238.48,0.0221,0.8622,32.2765
14.4,292.32,0.078,0.8929,16.5993
3.48,71.67,0.0854,0.897,4.2281
16.66,301.81,0.1348,0.9241,14.0078
5.29,71.31,0.0563,0.881,1.0832
16.42,476.14,0.0705,0.8888,40.7456
8.95,393.17,0.0337,0.8685,42.1074
3.77,225.97,0.0706,0.8888,26.6504
14.24,435.61,0.0479,0.8763,38.9781
2.71,280.51,0.1188,0.9153,37.0973
6.83,23.54,0.0394,0.8717,0.0
9.61,237.73,0.0908,0.8999,17.3602
16.29,257.84,0.0565,0.8811,8.2171
17.68,396.88,0.0272,0.865,26.5499
1.26,419.49,0.0315,0.8673,60.6896
7.77,297.17,0.0641,0.8853,30.1165
3.94,457.34,0.0259,0.8642,61.106
18.02,189.1,0.0661,0.8864,0.1808
3.99,336.84,0.124,0.9182,42.9269
17.8,441.52,0.0726,0.8899,33.0185
12.87,87.25,0.1021,0.9062,0.0
18.26,399.2,0.1299,0.9214,25.6086
17.08,316.71,0.0494,0.8772,14.9632
9.25,413.47,0.0498,0.8774,44.7917
8.74,407.61,0.1093,0.9101,44.8844
1.77,322.29,0.1346,0.924,44.9314
12.96,121.07,0.1173,0.9145,0.0
4.81,280.48,0.028,0.8654,33.1819
13.15,233.34,0.0921,0.9007,10.2336
2.99,206.09,0.0511,0.8781,25.2624
7.19,439.44,0.0687,0.8878,52.4416
9.15,377.73,0.0562,0.8809,39.401
4.15,279.1,0.1438,0.9291,34.1518
0.67,64.72,0.1199,0.9159,8.4631
0.69,61.28,0.0869,0.8978,7.8539
16.85,153.64,0.0249,0.8637,0.1081
5.72,341.34,0.0945,0.902,40.7207
15.73,202.04,0.1087,0.9098,0.5464
2.36,226.72,0.1418,0.928,29.2057
19.28,243.28,0.0452,0.8749,0.3047
8.52,343.62,0.0331,0.8682,35.5419
12.03,383.41,0.1017,0.9059,35.0618
8.37,151.25,0.0587,0.8823,6.6508
15.05,472.74,0.1319,0.9225,42.6615
5.17,227.09,0.0491,0.877,24.6727
17.47,163.59,0.1332,0.9233,0.2252
19.12,135.35,0.0264,0.8645,0.0
12.23,397.41,0.0916,0.9004,36.7286
13.28,459.34,0.0414,0.8728,43.7252
18.65,150.14,0.0247,0.8636,0.0
12.7,397.41,0.143,0.9286,36.0808
16.03,106.14,0.1459,0.9302,0.1794
4.53,417.19,0.0612,0.8837,53.8704
18.35,114.92,0.1363,0.925,0.1205
1.43,68.9,0.1252,0.9189,7.7408
10.02,267.04,0.043,0.8736,21.5011
18.34,185.23,0.1315,0.9223,0.2328
16.75,478.63,0.0426,0.8734,40.561
13.54,23.43,0.1287,0.9208,0.3042
19.59,409.19,0.0477,0.8762,24.6834
7.17,483.29,0.0257,0.8641,58.9169
16.45,378.94,0.0707,0.8889,25.7824
14.81,36.04,0.1225,0.9174,0.1595
5.12,287.01,0.1479,0.9313,33.528
1.01,175.28,0.0578,0.8818,24.0589
3.69,405.33,0.0698,0.8884,54.2159
4.68,453.34,0.0944,0.9019,59.4839
2.86,466.68,0.0496,0.8773,64.9644
3.89,262.12,0.1045,0.9075,32.364
10.65,149.1,0.0299,0.8664,2.4153
17.23,124.56,0.115,0.9133,0.0159
1.42,415.24,0.0664,0.8865,59.405
5.16,204.31,0.0841,0.8963,20.889
1.52,11.83,0.1201,0.9161,0.0673
11.15,19.02,0.0777,0.8927,0.1835
4.06,186.02,0.0301,0.8666,20.3937
16.19,90.11,0.0761,0.8919,0.3064
11.23,17.45,0.1235,0.9179,0.0
8.64,317.74,0.0239,0.8631,31.2347
3.52,464.12,0.0406,0.8723,63.2678
3.87,465.76,0.1198,0.9159,62.7922
12.93,25.94,0.0868,0.8977,0.0397
15.3,478.41,0.0633,0.8848,43.2191
8.15,333.33,0.0378,0.8708,34.3166
19.25,476.0,0.1275,0.9201,35.1049
3.45,38.6,0.1097,0.9103,0.0
3.63,103.5,0.1012,0.9057,8.3235
11.73,338.12,0.0236,0.863,28.7265
12.43,465.98,0.129,0.9209,46.624
17.05,387.95,0.0846,0.8965,26.3373
1.75,107.49,0.0851,0.8968,12.9172
6.87,150.6,0.0891,0.899,9.8777
3.32,410.43,0.0444,0.8744,55.3284
6.53,204.32,0.1072,0.909,18.5082
18.65,42.63,0.1478,0.9313,0.1969
6.22,33.48,0.0608,0.8834,0.1508
11.59,176.24,0.1492,0.9321,4.8079
10.15,96.16,0.0656,0.8861,0.0
16.99,385.19,0.0423,0.8733,26.2061
2.36,26.36,0.1091,0.91,0.0
3.45,240.8,0.0836,0.896,29.5985
9.07,84.0,0.1091,0.91,0.0
7.52,341.14,0.1014,0.9058,37.0547
13.0,117.54,0.0374,0.8706,0.0
8.36,414.87,0.1376,0.9257,46.7688
19.57,376.9,0.0975,0.9036,19.6562
8.69,237.13,0.1387,0.9263,18.9201
6.58,447.25,0.1223,0.9173,54.5282
2.23,348.96,0.1463,0.9305,48.3839
14.73,498.29,0.0732,0.8903,47.3029
6.65,48.32,0.0719,0.8895,0.127
9.16,184.05,0.0396,0.8718,10.2815
14.01,145.52,0.101,0.9055,0.1572
19.1,76.61,0.1274,0.9201,0.0823
8.85,409.53,0.1077,0.9092,44.863
13.89,76.22,0.076,0.8918,0.0
15.37,407.4,0.0319,0.8675,32.3096
18.58,336.21,0.0219,0.862,15.5349
0.61,234.49,0.0413,0.8727,33.9525
17.06,350.82,0.0388,0.8713,20.5138
6.81,356.84,0.0487,0.8768,40.7613
6.05,494.38,0.1272,0.92,62.8276
16.49,444.94,0.0856,0.8971,35.762
12.24,206.29,0.0873,0.898,7.8558
3.15,418.45,0.1391,0.9265,57.0612
9.3,148.05,0.1279,0.9203,4.6821
15.95,406.41,0.0872,0.898,31.0741
4.31,401.66,0.0508,0.8779,52.2705
8.67,253.99,0.1085,0.9097,22.0547
15.56,450.22,0.0291,0.866,38.447
12.32,212.47,0.0655,0.886,8.6122
3.89,120.36,0.1181,0.915,10.5901
4.38,286.19,0.0299,0.8664,34.9128
12.72,193.12,0.0321,0.8677,5.374
9.22,359.66,0.081,0.8945,36.849
2.34,391.21,0.1254,0.919,54.5425
14.64,461.4,0.1246,0.9185,41.4767
9.59,375.82,0.149,0.9319,38.3741
9.39,205.72,0.1088,0.9098,13.471
14.57,138.96,0.0618,0.884,0.0
17.98,71.46,0.1388,0.9263,0.0782
10.96,273.96,0.0995,0.9047,20.6243
1.15,190.99,0.1102,0.9106,26.7238
4.53,351.53,0.135,0.9243,43.9511
6.37,33.49,0.0459,0.8752,0.3313
5.1,448.18,0.1421,0.9282,57.629
15.33,425.67,0.0678,0.8873,35.1833
5.44,249.92,0.0799,0.8939,27.4248
8.88,108.14,0.0675,0.8871,0.0
3.93,192.54,0.1395,0.9267,21.3663
2.72,277.68,0.075,0.8912,36.2975
6.94,499.14,0.1375,0.9256,61.9993
10.58,316.07,0.1031,0.9067,27.3494
1.7,78.65,0.1365,0.9251,8.6775
15.34,94.41,0.1095,0.9102,0.1872
15.08,114.18,0.1256,0.9191,0.0177
15.05,400.99,0.1392,0.9266,31.8455
1.82,401.02,0.1116,0.9114,56.7169
4.31,71.74,0.0879,0.8983,2.5747
5.38,82.54,0.0414,0.8728,2.1061
9.19,458.16,0.1238,0.9181,51.2145
1.82,178.69,0.0835,0.8959,23.5505
2.49,442.93,0.1031,0.9067,61.5996
13.04,459.73,0.0788,0.8933,44.3725
3.41,351.7,0.1401,0.9271,46.3781
19.45,178.49,0.0496,0.8773,0.0
6.61,492.14,0.1314,0.9223,61.1587
2.77,227.05,0.1304,0.9217,28.829
2.4,396.27,0.1332,0.9233,55.2161
7.04,150.15,0.081,0.8945,9.5235
18.37,145.53,0.1431,0.9287,0.0
19.1,231.99,0.1274,0.9201,0.0
17.52,169.71,0.1318,0.9225,0.0
3.12,70.33,0.1185,0.9152,4.9274
17.37,430.26,0.0995,0.9047,31.5598
18.84,480.07,0.0677,0.8872,36.5991
11.64,367.74,0.0831,0.8957,33.3021
18.81,281.48,0.0797,0.8938,7.2642
8.34,152.43,0.131,0.9221,7.2182
8.91,231.01,0.0457,0.8751,17.869
2.54,308.14,0.1062,0.9084,41.7721
5.27,192.9,0.1062,0.9084,18.9099
8.28,226.66,0.0391,0.8715,18.1303
11.75,198.82,0.1102,0.9106,7.5471
10.51,440.69,0.0522,0.8787,46.5585
11.95,97.65,0.0732,0.8903,0.1324
8.62,254.6,0.0805,0.8943,21.7536
7.67,398.09,0.0703,0.8887,45.9642
10.36,297.13,0.138,0.9259,24.8004
6.5,281.7,0.1179,0.9148,30.1629
15.57,464.37,0.0926,0.9009,40.3232
2.11,192.97,0.1114,0.9113,25.1569
18.51,104.09,0.0852,0.8969,0.0594
8.02,33.98,0.0304,0.8667,0.4136
4.25,293.76,0.1055,0.908,35.9783
1.88,337.07,0.0225,0.8624,46.9352
2.23,47.84,0.1056,0.9081,2.7932
12.67,354.48,0.092,0.9006,29.1816
0.6,72.59,0.1405,0.9273,9.6553
17.18,42.37,0.1306,0.9218,0.1063
14.09,225.96,0.1386,0.9262,7.326
8.75,51.83,0.085,0.8967,0.4788
9.31,380.22,0.052,0.8786,39.7661
2.36,245.81,0.1418,0.928,32.2509
3.29,157.01,0.0427,0.8735,17.7179
19.13,84.08,0.0646,0.8855,0.0
1.95,366.6,0.0242,0.8633,51.5845
16.12,209.67,0.134,0.9237,1.1184
4.16,51.81,0.0479,0.8763,0.1399
15.79,192.65,0.136,0.9248,0.2215
7.63,328.88,0.1023,0.9063,35.2469
13.96,266.36,0.1487,0.9318,13.9817
5.64,323.22,0.0415,0.8728,38.1159
4.38,112.8,0.0329,0.8681,8.7248
15.27,442.73,0.0992,0.9046,37.8014
14.6,498.66,0.1189,0.9154,47.6671
4.76,470.92,0.1146,0.913,61.5991
2.69,469.33,0.0808,0.8944,65.6475
6.99,385.55,0.1277,0.9202,44.7844
11.53,380.39,0.0641,0.8853,35.5467
17.78,56.81,0.0567,0.8812,0.0
1.56,13.22,0.1098,0.9104,0.0
0.66,28.67,0.1301,0.9216,2.7129
12.39,406.33,0.0433,0.8738,37.7531
19.29,257.52,0.1034,0.9069,2.0419
8.13,108.3,0.1309,0.922,1.2038
15.25,219.88,0.1384,0.9261,4.3126
6.54,22.82,0.0634,0.8849,0.2928
7.7,421.29,0.1404,0.9272,48.7348
0.8,390.43,0.125,0.9187,56.8977
7.52,48.56,0.0962,0.9029,0.0
0.99,317.94,0.072,0.8896,45.9212
13.94,358.66,0.1127,0.912,27.5959
8.4,10.06,0.1026,0.9064,0.0
7.48,335.53,0.11,0.9105,36.0623
5.09,44.9,0.1297,0.9213,0.0
10.57,20.49,0.1266,0.9196,0.0
3.78,322.81,0.0621,0.8842,41.3491
18.98,286.5,0.109,0.91,7.3406
4.99,346.21,0.1286,0.9207,42.5344
7.84,446.23,0.0959,0.9027,52.5934
5.63,402.09,0.0802,0.8941,49.6158
2.52,11.57,0.0897,0.8993,0.4183
1.04,315.42,0.1444,0.9294,45.4376
13.58,82.18,0.0945,0.902,0.0
4.04,463.13,0.092,0.9006,61.8174
13.09,325.88,0.0657,0.8861,24.3254
12.2,123.76,0.0351,0.8693,0.0
16.46,424.96,0.0643,0.8854,33.0667
13.72,72.31,0.054,0.8797,0.1007
7.78,245.79,0.1259,0.9192,22.5801
14.32,352.08,0.1112,0.9112,25.8659
16.86,159.49,0.0711,0.8891,0.111
1.07,33.59,0.0579,0.8818,3.1277
16.52,27.69,0.1298,0.9214,0.0
8.95,138.5,0.0349,0.8692,3.7644
8.96,27.51,0.1207,0.9164,0.0211
13.78,417.95,0.0326,0.8679,36.9099
8.16,479.06,0.1151,0.9133,56.5126
7.87,481.04,0.1309,0.922,57.6382
19.6,178.35,0.0325,0.8679,0.0
19.54,467.12,0.0334,0.8684,33.5538
2.61,13.65,0.0579,0.8818,0.1356
0.73,298.99,0.0741,0.8908,43.3236
9.46,185.91,0.046,0.8753,10.2173
16.27,395.87,0.044,0.8742,28.983
2.01,403.96,0.0754,0.8915,56.8996
7.42,17.15,0.0785,0.8932,0.0
19.44,336.0,0.0409,0.8725,14.081
15.75,252.56,0.0208,0.8614,8.4674
3.63,152.29,0.0951,0.9023,15.7976
9.87,486.34,0.1285,0.9207,54.5072
5.47,489.96,0.108,0.9094,63.4879
17.71,174.32,0.1209,0.9165,0.3984
10.7,106.61,0.0272,0.865,0.0
4.4,192.81,0.0947,0.9021,20.9595
7.9,121.58,0.0279,0.8653,3.501
12.03,54.62,0.1421,0.9282,0.0
6.58,401.63,0.0244,0.8634,47.9586
15.65,305.4,0.0439,0.8741,16.9028
6.33,297.53,0.0558,0.8807,32.8331
13.71,240.39,0.0942,0.9018,10.2742
10.32,215.85,0.1272,0.92,12.9984
9.8,238.99,0.1459,0.9302,17.3044
7.14,248.45,0.0603,0.8832,23.825
5.47,463.38,0.0718,0.8895,59.4455
8.6,481.41,0.1116,0.9114,56.2007
11.56,139.78,0.1223,0.9173,0.0
1.06,250.4,0.1011,0.9056,35.6675
7.88,180.81,0.0267,0.8647,12.4611
13.8,308.94,0.0375,0.8706,20.4631
14.2,61.66,0.0251,0.8638,0.0
8.58,64.1,0.1024,0.9063,0.0196
0.72,454.92,0.0567,0.8812,66.8282
17.98,470.04,0.1009,0.9055,36.5236
8.34,453.88,0.1039,0.9071,52.4553
17.12,353.34,0.0881,0.8985,20.9001
14.33,122.56,0.0359,0.8697,0.0
4.26,328.68,0.0234,0.8629,41.086
17.12,488.48,0.0589,0.8824,40.8362
19.18,295.33,0.0809,0.8945,8.6929
12.71,372.53,0.0823,0.8953,32.357
2.75,242.72,0.1202,0.9161,31.3094
4.55,463.69,0.1334,0.9234,61.0788
18.96,359.72,0.1121,0.9117,18.272
13.65,414.08,0.0711,0.8891,36.7045
1.27,336.45,0.0864,0.8975,47.8517
3.78,134.46,0.0867,0.8977,12.7994
12.04,362.57,0.1297,0.9213,31.4849
17.24,102.88,0.026,0.8643,0.0
12.94,320.72,0.1099,0.9104,24.1102
10.99,367.19,0.1321,0.9227,34.3062
19.48,488.58,0.0838,0.8961,36.65
9.4,303.28,0.0996,0.9048,27.9448
3.48,167.54,0.0807,0.8944,18.5579
16.81,286.39,0.0213,0.8617,11.442
13.36,170.77,0.0739,0.8906,1.0224
14.0,446.23,0.036,0.8698,40.4932
1.12,150.78,0.1057,0.9081,20.3541
13.22,150.35,0.0278,0.8653,0.3432
4.34,447.43,0.1374,0.9256,59.1783
15.36,290.27,0.0405,0.8723,15.25
8.29,72.94,0.0369,0.8703,0.2672
2.02,211.34,0.0477,0.8762,28.0101
9.71,211.09,0.1147,0.9131,13.4061
2.87,54.54,0.0426,0.8734,2.6845
18.95,201.81,0.0611,0.8836,0.1334
5.9,319.75,0.1413,0.9277,36.9407
5.53,249.17,0.1306,0.9218,27.1593
8.76,330.31,0.0842,0.8963,33.4599
4.41,263.58,0.086,0.8973,31.4496
14.11,344.2,0.0671,0.8869,25.309
4.99,454.22,0.1214,0.9168,59.0254
5.02,214.46,0.0497,0.8773,22.6258
9.69,248.42,0.1316,0.9224,18.9669
19.79,64.18,0.1031,0.9067,0.0
11.33,288.16,0.1438,0.9291,21.6916
13.77,77.59,0.0791,0.8935,0.0
8.15,177.2,0.0499,0.8774,11.626
12.25,433.17,0.1332,0.9233,42.4433
16.68,44.57,0.0487,0.8768,0.3966
9.18,383.88,0.043,0.8736,40.1329
0.74,49.41,0.1158,0.9137,5.9611
10.06,119.75,0.0798,0.8939,0.0
8.75,196.31,0.0569,0.8813,12.9594
14.97,159.03,0.0376,0.8707,0.0
6.0,298.39,0.1279,0.9203,33.2138
10.63,278.79,0.1241,0.9183,21.9674
10.46,199.26,0.1315,0.9223,10.5921
1.7,381.52,0.143,0.9286,53.7634
18.39,139.88,0.1448,0.9296,0.0265
19.82,243.7,0.1311,0.9221,0.0991
7.28,204.64,0.082,0.8951,17.6263
16.54,44.56,0.0554,0.8805,0.1344
15.32,103.34,0.0941,0.9018,0.0
12.19,440.96,0.146,0.9303,43.4428
1.29,85.51,0.0233,0.8628,10.3311
8.17,494.0,0.1481,0.9315,58.8339
9.14,205.51,0.0639,0.8851,14.0333
9.48,78.9,0.0228,0.8625,0.038
7.14,416.37,0.1098,0.9104,49.1159
16.7,177.04,0.0468,0.8757,0.0
17.79,241.44,0.0934,0.9014,2.8
12.52,45.93,0.0233,0.8628,0.05
8.4,391.76,0.1497,0.9323,43.2096
0.67,229.73,0.032,0.8676,33.4905
1.64,82.86,0.0378,0.8708,9.451
10.86,491.06,0.0479,0.8763,53.5586
12.55,453.48,0.1495,0.9322,44.4947
18.66,321.83,0.1031,0.9067,13.094
12.84,335.35,0.1263,0.9195,26.0212
19.72,309.46,0.0639,0.8851,9.5094
6.6,474.83,0.0578,0.8818,59.3156
8.27,66.26,0.0729,0.8901,0.0
15.61,355.05,0.1415,0.9278,23.8529
11.77,260.82,0.0914,0.9003,17.0406
5.26,64.75,0.0311,0.8671,0.0499
1.4,370.19,0.0263,0.8645,52.9643
0.78,480.89,0.123,0.9176,70.9032
2.73,258.44,0.0315,0.8673,33.4161
4.9,422.95,0.0432,0.8738,54.2188
4.79,454.78,0.0765,0.8921,59.2557
11.0,225.79,0.1347,0.9241,13.6275
5.39,488.61,0.1188,0.9153,63.1485
17.73,362.34,0.1084,0.9096,21.1373
7.99,371.97,0.1481,0.9315,40.673
17.49,92.79,0.1203,0.9162,0.1276
0.69,239.16,0.0461,0.8754,34.796
6.71,237.71,0.108,0.9094,23.0774
11.08,497.74,0.1117,0.9114,53.8413
12.07,329.81,0.0642,0.8853,26.9557
3.94,139.59,0.0944,0.9019,13.5928
9.58,481.53,0.1229,0.9176,54.2847
10.82,268.82,0.0703,0.8887,20.0348
8.26,92.01,0.1243,0.9184,0.0578
2.13,495.66,0.0755,0.8915,70.5739
3.59,359.08,0.0262,0.8644,47.2785
13.13,212.24,0.0483,0.8766,7.9144
3.69,259.47,0.02,0.861,31.8212
12.38,457.17,0.0264,0.8645,45.3715
11.2,456.12,0.0497,0.8773,47.6078
7.68,101.54,0.069,0.888,1.0373
12.37,75.38,0.0339,0.8686,0.0
1.52,449.57,0.0422,0.8732,64.583
18.56,115.23,0.1051,0.9078,0.0
1.77,472.98,0.0732,0.8903,67.7319
8.7,312.05,0.084,0.8962,30.3531
12.66,365.22,0.1041,0.9073,31.025
8.07,336.83,0.1076,0.9092,35.2869
1.19,405.99,0.0976,0.9037,58.6329
5.06,473.54,0.0248,0.8636,61.5617
5.96,450.32,0.1018,0.906,56.3402
15.36,288.06,0.0933,0.9013,14.6623
13.58,22.85,0.0237,0.863,0.0
11.15,106.62,0.1199,0.9159,0.0
1.96,33.27,0.0768,0.8922,1.6362
1.66,457.72,0.0315,0.8673,65.448
18.77,33.25,0.0778,0.8928,0.0
2.33,242.54,0.1254,0.919,31.919
15.57,381.26,0.0798,0.8939,28.0299
2.89,235.78,0.0436,0.874,29.6809
8.22,318.83,0.0881,0.8985,32.389
15.85,195.35,0.0849,0.8967,0.0
12.55,66.64,0.034,0.8687,0.1552
14.82,337.41,0.1007,0.9054,22.7171
3.34,492.14,0.1377,0.9257,67.8267
17.56,114.43,0.0959,0.9027,0.0
18.58,88.74,0.0962,0.9029,0.0
2.55,351.1,0.0998,0.9049,47.9019
6.65,51.62,0.1426,0.9284,0.0
1.66,27.51,0.0788,0.8933,0.9305
9.55,273.19,0.0377,0.8707,23.0464
18.98,393.73,0.1437,0.929,23.6513
1.51,415.76,0.149,0.9319,59.6183
12.31,445.44,0.0903,0.8997,43.5334
6.74,74.95,0.0945,0.902,0.0922
6.91,111.3,0.0714,0.8893,3.8273
1.64,131.26,0.1421,0.9282,16.3023
12.03,44.81,0.0664,0.8865,0.0
10.64,213.21,0.0624,0.8843,12.0627
12.28,90.01,0.0936,0.9015,0.0
6.5,284.57,0.0497,0.8773,30.3688
19.76,449.97,0.0904,0.8997,30.7775
11.83,369.52,0.1173,0.9145,33.3364
8.42,200.15,0.0596,0.8828,14.2179
10.74,130.11,0.1154,0.9135,0.3742
5.68,307.24,0.0302,0.8666,35.6214
8.05,98.12,0.0907,0.8999,0.279
19.72,186.04,0.1256,0.9191,0.0201
0.53,97.16,0.0648,0.8856,13.4706
16.84,69.58,0.094,0.9017,0.0
0.74,115.87,0.128,0.9204,16.1604
1.12,199.28,0.0218,0.862,27.4887
11.93,339.73,0.094,0.9017,28.519
4.29,353.97,0.0527,0.879,45.3251
6.48,75.6,0.059,0.8824,0.0367
9.18,186.57,0.0243,0.8634,10.5986
7.48,252.56,0.0219,0.862,23.7178
13.44,499.95,0.0389,0.8714,49.8134
8.07,265.26,0.1468,0.9307,24.381
18.61,266.17,0.0318,0.8675,5.344
11.24,297.62,0.0657,0.8861,23.6596
11.61,132.47,0.0448,0.8746,0.0
1.14,312.02,0.0268,0.8647,44.5031
14.12,400.7,0.0747,0.8911,33.5479
2.52,65.2,0.0247,0.8636,4.9168
7.48,422.55,0.115,0.9133,49.0555
0.51,292.22,0.1132,0.9123,42.78
3.08,100.32,0.0369,0.8703,9.2983
2.84,10.23,0.1319,0.9225,0.0
10.35,479.99,0.1285,0.9207,52.4086
6.57,423.29,0.1033,0.9068,51.1581
15.86,206.72,0.0399,0.8719,1.0885
7.99,310.29,0.0976,0.9037,31.2424
10.78,446.93,0.0512,0.8782,46.6415
1.17,92.22,0.0991,0.9045,11.9743
2.94,221.44,0.1003,0.9052,27.8955
11.12,339.14,0.0504,0.8777,29.9277
2.47,194.95,0.1181,0.915,24.9729
14.94,20.23,0.0507,0.8779,0.0308
3.03,14.96,0.0379,0.8708,0.0655
17.63,294.88,0.1313,0.9222,11.3956
6.68,30.21,0.1041,0.9073,0.0
16.9,338.57,0.1486,0.9317,18.8911
1.97,368.67,0.0265,0.8646,51.6958
14.7,24.41,0.1369,0.9253,0.131
14.85,480.11,0.1399,0.9269,44.3012
16.57,302.59,0.0263,0.8645,14.0794
13.09,382.71,0.0368,0.8702,33.019
7.06,210.1,0.0678,0.8873,18.2212
8.81,339.72,0.0449,0.8747,34.2588
14.23,267.46,0.1146,0.913,13.4307
8.79,160.83,0.1349,0.9242,7.4853
8.78,122.38,0.0738,0.8906,1.715
14.86,483.4,0.0868,0.8977,44.5843
11.49,282.56,0.1303,0.9217,20.7424
11.17,452.16,0.1241,0.9183,46.8152
5.23,388.73,0.1094,0.9102,48.555
1.44,175.53,0.0755,0.8915,23.5994
7.7,282.79,0.1234,0.9179,28.0476
1.12,241.28,0.064,0.8852,33.9948
12.49,431.74,0.0785,0.8932,41.2441
15.51,495.26,0.077,0.8923,45.2721
16.8,40.33,0.0808,0.8944,0.0729
3.03,255.85,0.1014,0.9058,32.8305
16.71,432.83,0.0401,0.8721,33.7927
9.74,119.8,0.1045,0.9075,0.0
3.04,241.44,0.0355,0.8695,30.137
2.49,477.4,0.1188,0.9153,66.4256
10.95,304.97,0.0217,0.8619,25.3856
17.75,209.12,0.0805,0.8943,0.0803
10.56,40.63,0.062,0.8841,0.3213
16.02,64.92,0.0242,0.8633,0.2881
17.97,323.41,0.0791,0.8935,15.1145
2.76,195.73,0.0889,0.8989,24.1621
6.72,181.16,0.0242,0.8633,14.4291
7.37,361.11,0.0553,0.8804,40.2262
13.41,16.73,0.0943,0.9019,0.3402
4.59,139.04,0.0852,0.8969,12.201
10.67,452.16,0.0511,0.8781,47.7302
15.57,381.9,0.065,0.8858,28.3598
17.58,401.19,0.118,0.9149,27.4325
16.52,292.05,0.1416,0.9279,12.9583
1.09,259.65,0.0773,0.8925,37.4857
7.47,261.94,0.1377,0.9257,25.0079
10.77,425.07,0.053,0.8791,43.6069
5.51,87.08,0.1254,0.919,2.6562
17.85,416.28,0.1231,0.9177,28.9195
19.11,39.64,0.1497,0.9323,0.1328
1.66,122.81,0.0634,0.8849,15.1719
17.92,26.26,0.1345,0.924,0.1351
6.79,494.58,0.1126,0.9119,61.4068
10.78,480.48,0.1469,0.9308,51.7065
16.71,33.64,0.1013,0.9057,0.0
5.89,447.45,0.1052,0.9079,56.2345
